no,content
520,봐주세요♡ #대구여행 #대구서문시장먹거리투어 여기 이 스케줄대로 당일여행이였답니다 위메프에서 버스투어를 출시했더라구요 저렴한 가격에 당일투어♡넘나...
521,없었던 여행 일요일 늦은 오후시간이라 그런지 꽤나 한적했던 대구 이월드... 다녀온 대구 이월드 (구.우방랜드) 대구여행/데이트 필수코스로 추천합니당! 공감과 댓글은...
522,[대구여행] 오랜만에 떠나는 봄여행~!팔공산 목련군락지 (대구가볼만한곳) 얼마만에 여행인지..정말 눈물겹구먼...............ㅠㅠ 애낳고서 처음 떠난 봄여행-! 것도 내가...
523,고스트북스의 고스트북스에 의한 고스트북스를 위한 대구여행 우린 만나면... 10시차를 탔다^^ 출발 대구 가는날 아침웨~ 뀰이 데려온 대니엘~ 대구에 내려 버스타고...
524,엄마의 옛추억이 있는 수성못 쪽도 가 볼겸 다음에 엄마와 대구여행을 제대로... 맛있는 대구중구 대봉동카페<오랑오랑> [BY 여행떠나는화가] 181220 뮤지컬 <라이언킹...
525,나는 밑으로 밑으로 비 피해서 놀러가요 이번엔 대구 | 여행프롤로그 난 즉흥여행을 즐기는 타입이... blog.naver.com 대구여행 | 맛집 #대구맛집 #도쿄다이닝 #쿠킹신드롬...
526,짧은 역사공부였지만 폿팅하다보니 또 새록 기억이나네요~ #대구여행 #대구여행코스 #대구 #청라언덕 #근대골목투어 #대구당일치기 #대구당일치기여행 #대구골목투어
527,"동대구역에 도착했어요! 역시 기차여행을 하니 빠르고 편하고 좋던데요^^ 저의 이번 대구여행은 오랜 이웃이신 푸른하늘여행님께서 2월에 이벤트를 하신적이 있는데, KTX..."
528,"주말에 찾은 대구 이월드 83타워. 1층을 지나는 길에 꽤 큰 피규어 매장이 눈길을... 한 피규어들이 많이 보입니다. 가을의 색다른 여행. 나서면 보이는 것마다 설렙니다,"
529,여행을 다녀왔음에도 그 분위기에 취한 나머지 일주일동안 들뜨게 하는 것이다. 이번 대구 여행이 딱 그 짝이었다. 벌써부터 다가오는 휴가기간에 한 번 더 대구에...
530,꺄아아아 금방 돌아와서 글올려요 오늘은 꽃 포스팅은 아니구요 대구여행... 놀러와서 그런가 우선 여행 시작은 ktx역인 대구역에서 시작해야죠 ~~ 여기는 대구역 신세계...
531,"대구 여행 엠블럼 & 슬로건 소개 2020 대구·경북 관광의 해 함께하는 대구광역시와... 대구와 경북이 하나의 여행지라는 점, 꼬옥 기억해주세요. :-) 볼거리, 먹을거리..."
532,대구여행 시리즈! 방천시장 김광석 다시그리길!! 여행하는 캠핑블로거... 가수 고(故)김광석씨의 고향이자 대봉문화마을로 불리우는 대구방천시장! 낙후되어 빈 상가만...
533,여행다닐때 정말 최고의 카메라인 것 같다 11월에 다녀온 대구여행을 리코GR2로... https://blog.naver.com/ekwhgdk666/221399145895 기본필터로 찍은 대구 카페 모습인데...
534,"대구여행,3대천왕맛집 미성복어불고기 대구여행 갔다가 백종원의 3대천왕... 보면 대구10미 맛집이라고 적혀 있다 간판도 엄청 오래 되어 보이고 미성 본점 프라이드가..."
535,다같이 여행 아닌 대구여행 해보고 재밌었던 주말! 밤엔 빈티지샵에서 건진 예쁜 유리병에 동생이 가져온 꽃다발 꽃 꽂아두고 혼자 좋아라했답니다 ㅎ 대구 안에서...
536,"대구여행코스 나 홀로 떠난 대구 당일치기 여행 부제: 대구 카페, 분식 투어 지난주 일요일, 3일간의 연휴 기간 동안 집에만 있으면 왠지 아쉬울 것 같아 급 대구행을..."
537,대구 여행코스 대구 지하철 3호선 모노레일 대구 도심 전망 즐기며 떠나는 신개념 기차여행 배움의 목표는 시험 문제 잘 맞추는 것보다 학문을 실생활에 잘 활용하여...
538,대구여행을 계획하고 계신분이 계시다면 경상감영공원도 다녀와보시라고 권해드리고 싶네요 경상감영공원을 시작으로 대구 근대화거리와 대구읍성등 다양한 여행루트...
539,"대구 호텔 엘디스 리젠트 호텔 호텔스닷컴 대구 여행을 결정하고, 호텔을 찾아봤는데 생각보다 숙박시설이 많지 않았고, 모텔이 대부분. 심지어 가격대비 너무 찜찜해서..."
540,"2박3일 여행을 마치구 다시 거제루.......ㅎ 일욜엔 하루종일 집안일 하면서 쉬어따 ㅎ 대구는 참... 갈때마다 추억이 새록새록이당 현재의 나날, 반짝반짝! 부풀어 오르는..."
541,지난주였죠 오랜만에 동성로맛집 한번 찾아 가보려고 대구시내에 들렀어요 이번 명절 긴 연휴 혹시나 대구로 오시는 분 계시면 대구여행 필수코스로 동성로맛집 탐방...
542,"대구 풍등축제 티켓 예매에 성공해서 2019년 4월 27일~28일 1박 2일로 대구 여행을 다녀왔다. KTX보다 비행기가 싸고, 집에서 김포공항이 아주 가깝기 때문에 비행기를..."
543,"번개여행 하는게 아닐까요?? 쩃든, 대구에 도착하고 점심걱정부터 하게 되는데... 역시나 저는 시험기간인데도 공부를 하지않고 놀러갔다는 생각에 대구여행 다녀와서..."
544,"대구여행 대구수목원 국화축제 + 급포항여행 한참 대구 수목원에 국화로 핫했던 그 즈음 주말... 너도나도 찾아가는 수목원, 우리도 가야지~ 주변일대에 어마어마한..."
545,대구 여행 2018 대구관광 SNS 기자단 발대식 모두 환영합니다! 다양한 대구 여행지에 관한 홍보 콘텐츠를 발굴하고 이를 알리는 홍보대사! 바로 2018 대구관광 SNS...
546,"[대구여행]2017년도 대구 풍등축제 ▶대구여행,2017대구풍등축제,풍등축제,두류공원,이월드,국내여행,국내축제 봄 맞이 국내여행 나들이 대구여행을 하게 된 이유...."
547,2019.03.30 ~ 03.31 대구 여행 동성로 중앙떡볶이 ▶ 삼성 라이온즈 파크 ▶ 막창골목 (홍림곱창막창) ▶ 김광석거리 #대구여행 #3월대구 #서울에서대구KTX 서울에는 아직...
548,대구 여행 김광석 길 ~ 대구투어로 손꼽히는 김광석 거리는 김광석이 살았던 대봉동 방천시장 골목에 삶과 음악을 테마로 조성한 벽화 거리이다~ 대구여행하면...
549,"#대구여행 #기차여행 #비오는날 멋지지 아니한가!!!! 오늘 비온다며, 날씨... 대구기차여행 가기 전에 좋아하는 좌석인 각 차량 제일 앞좌석을 겟 해두었다고 생각했는데..."
550,수창공원 대구공식블로그 포스팅 보고 첫방문 대프리카라 이런 무료 물놀이시설이 꽤 있다고합디다~ 대구예술발전소 맞은편 위치 도심속 힐링공간 쿨링포그 뿜뿜...
551,"대구를 가기 전 인스타에 대구 카페를 몇번 검색해봤는데, 포토존이 유명한 카페인지 인스타에 자주 등장했던 '성당못빌' 을 가봤다. 알고 보니 인스타에서 핫한 대구..."
552,심은게 대구 사과의 효시라 한다-설명문) 대구 여행스케치 공모전을 빙자한... 족욕탕 여행스케치를 빙자했으므로 스케치는 한다. (앞으로 빙자할 일이 많기 위해)...
553,1박 대구 여행 대구까지 갔는데 그냥 오기 매우 섭하여 혼자서라도 여행을 할 참이었답니다. 그래서 용인 원장님도 동행하신다고 해서 즐거운 시간을 보내고 왔어요....
554,"대구 가볼만한곳ㅣ청라언덕 대구 근대골목 여행 - 청라언덕 대구 도심권의 주된 여행 테마는 대구 근대골목 여행입니다. 큰길에서는 잘 알 수 없지만, 도심 곳곳의..."
555,대구 여행 팔공 막창 - 동성로 - 숙소(봄고로) 3시간 넘게 버스를 타고 겨우 도착한 대구 예상보다 늦게 도착해 바로 체크인하고 저녁을 먹으러 갔다 01 팔공 막창 여행의...
556,"파란 하늘, 동대구역 도착!!! 이제부터 여행 시작이다. 이번 여행도 ""먹방"" 위주였다 :) 먹는게 젤 행복해 ~! 이제 대구여행 시작!"
557,이월드 갔다가 두류공원갔다가 부산으로 복귀 ^^ 올대구여행도 Good ~ #대구여행 #슈가펌킨 #대구먹방 #동성로맛집 #서면맛집 #대구두류공원 #대구수박빙수 #대구카페...
558,재 니 와 의 1 박 2 일 대 구 여 행 ♥ DAY 1 대구 향촌 문화관 - 중앙떡볶이 - Coffee... 대구삼성라이온즈파크 여행지를 대구로 정한 가장 큰 이유였던 라팍. 삼성팬인 재니와...
559,나처럼 대구여행을 온 여행객들에게는 '대구 교동 전자상가거리'로 유명한 그 길목에 있는 곳. 아침에 방문하면 길거리가 너무나 한산하고 조용하지만 이곳에 혼자...
560,이밖에 대구 동인동 찜갈비도 유명하다고 하는데 못먹고 와서 아쉽지만 다음 기회에~~ 여행은 늘 맛있는 풍경과 함께 하는 것 같네요.
561,요즘 국내여행을 갔다하면 대구다 몇주전에 다녀왔지만 이번엔 중학교친구 둘과 함께 다녀온 대구~~ 셋이서 사는곳이 다르다보니 각자 집에서 가까운 교통편을 이용하여...
562,친구랑 대구 여행을 왔습니다. 동성로에서 놀다가 김광석거리로 갔는데 허기가... 마음으로 여행하게 되는 것 같습니다. 대구에는 종종오면서 오늘 김광석거리는...
563,대구여행 둘째날<U+2763> 이번여행은 오로지 먹방여행이라 먹는거밖에 없음둥 [동성로... 본점] 대구하면 막창이지!!! 사실 이번이 막창 첫 경험 동성로 근처에 막창집...
564,걸친 대구여행은 마무리~ 예정했던 춘천여행은 무산되어서 집에서 그냥 쉬었어요... 때 틈틈이 다니는게 정말 좋은거 같아요 ㅋㅋㅋㅋㅋ 여러분도 대구에 놀러가보세용!!> <
565,대구여행 . 대구가볼만한곳 . 근대 골목투어 . 동산청라언덕 . 서문시장에서... 이렇게 근대골목투어를 끝내는데 1시간~1시간반 소요되었습니다 여행에 참고하시기...
566,"작은 동물원이 있는 대구 달성공원 서문시장에서 걸어갈수있는거리라 한번 더 들렸다 대구여행 , 대구가볼만한곳 달성공원 달성공원앞엔 애기들한테 인기만점인..."
567,191018 금욜 밤부터 일요일까지 떠난 가을의 대구 여행 지난 6월의 여수 여행 이후로... 먹으로 대구에 살았던 친구의 추천으로 가본 팔공 막창 골목 깊숙이 있는데도 늦은...
568,"대구 여행 국내 1박2일 여행 in 대구 오토캠핑장, 공룡공원, 앞산 케이블카, 맛집 날이 따뜻해지면서 많이들 찾으시는 곳이 바로 오토캠핑장! 대부분 외곽의..."
569,덕분에 대구여행을 하게됐어요 친구를 만나러 갈때마다 여행이 될것 같아요 인스타나 블로그를 하면서 멀기만 했던 대구대구! 가보고 싶었던곳들을 메모장에 다...
570,언제나 귀여워~ 두 시설이 붙어있어 한꺼번에 둘러보면 좋은 대구 여행코스 1. 대구근대역사관과 경상감영공원 이었습니다. 대구 첫 여행을 기분좋게 시작한 느낌.
571,머리털 나고 대구를 첨 가봤다. 대구...하면 떠오르는 건 대한민국에서 제일 더운... 피곤함을 뒤로하고...울산행 버스에 올랐다. 나름 느낌 좋은 도시...대구 여행...좋았다.
572,"대구 여행, 김광석거리/르플랑 레몬케이크/대구예술발전소 대구하면 떠오르는 김광석거리에 드디어 가봤다 지하철로 쉽게 갈수 있었던 김광석거리 들어서자마자 관광..."
573,동대구역에 도착했다. 약 1시간30분밖에 걸리지 않는 대구는 정말 가깝다 ·<U+1D17>... 이번 대구 여행은 내가 다녀온 여행중 제일 욕심없이 마음 편하게 다녀올 수 있었던...
574,대구 여행하면서 느낀거지만 대구인심은 정말 최고인것 같아요 bb #모던다방 마지막으로 간곳은 모던다방인데요 원래 여기말고 다른데를 가려고했다가 급계획을...
575,#대구 #대구여행 #대구여행추천 #대구여행지추천 #대구시내여행 #대구여행코스 #대구당일치기 #대구당일치기여행 #대구당일치기코스 #대구관광 #대구관광지...
576,대구여행 가볼만한곳 북성로 공구골목을 걷다 대구 북성로를 아시나요? 북성로는 대구역과 달성공원역 사이에 있는 길입니다. 북성로는 대구읍성 북쪽에 있는...
577,2박 3일 대구여행 - 대구맛집 꿀빵 드디어 다시 시작된 (...) 2박3일 대구여행 포스팅!! 오늘 포스팅할 곳은 착한 가격으로 유명한 비쥬얼도 맛도 예쁜 대구맛집 꿀빵!...
578,대구 7월 여행지 추천:능소화와 배롱나무 꽃이 피는 육신사와 도곡재 2019/7/8한창 더운날에 갔던 육신사.육신사 입구의 배롱이길은 아직피기전이고 능소화만 곱게...
579,남편 외갓집이 대구라 한국에 있는동안 남편 할머니와 친척분들이 계시는 대구에 다녀 왔어요. 사실 1박2일 대구여행 이라기 보다는 친지방문 ㅋㅋ KTX특실은 예전에...
580,있는 대구에 놀러간다는 이야기를 듣고 저도 같이 내려가겠다고 했어요. 아무래도 차 없이 애기랑 둘이 여행을 하기엔 당일치기는 무리일 것 같아 1박 2일로 정했습니다....
581,"않고, 대구83타워 전망대로 가기 위해서, 자차로 이동을 했습니다. 여행갔을... 그럼에도 불구하고, 항상 행복하세요.......^^ #대구여행 #대구83타워 #대구가볼만한곳..."
582,저번 주말에 다녀온 대구 1박 2일 여행 대구는 정말 맛있는거 천국이에요 서울 고속터미널에서 8시 50분 차를 타고 대구로 출발! 터미널에서 일단 김가네 김밥 호로록...
583,《대구 서문시장 야시장》 여자넷 그리고 친구남편이랑 함께 서문시장을 찾아갔던 날은 8 호 태풍이 북상하고 있는 중이였다. 태풍의 영향으로 바람이 불어서 시원했다...
584,어제 하루 휴가를 내고 대구여행을 왔습니다 :) 대구에 지인들은 많지만 막상 오기... 이것이 여행의 묘미 ! 안녕. 다시 올게 :) 프리미엄 디저트 카페 LUCID. 'Let it slow...
585,지방자치단체에서 코스별로 여행 안내를 잘 해줘서 돌아다니기에도 쉽고... 올가을 짧은 대구여행 어떠세요? ^^ 대구의 역사를 충분하게 느낄 수 있는 조용한 거리 잔잔한...
586,2박 3일 대구여행 두번째이자 마지막 :-) 대구 오기 전부터 궁금했던 대프리카... 즐거웠던 출장 (이라 쓰고 먹방여행이라 읽는다) 이었다. 또 놀러 가고픈 대구
587,대구여행 대구근대로의여행 대구중구골목투어 [대구관광명소가볼만한곳] 사진 정리가 안되어 지난 9월말의 대구여 행을 늦었지만 포스팅합니다 대구골목투 어는...
588,예전 대구여행에서 들렀던 곳 중 다시 꼭 가보고 싶었던 곳입니다. 대구식 육개장을... 어느 여행과 마찬가지로 '집이 최고다~'라고 말하게 되지만... 잘 놀고 왔습니다....
589,"대구 여행도 하고 선물도 받아 더욱 즐거운 여행이었다고 하는데요, '특별한 대구'로 추억할 것이라고 말해주어 개인적으로 너무나 기뻤답니다. 짠~ 봄 여행주간..."
590,"지금 여행기록 끄적끄적 - 해보려한다 이건 대구여행 첫 시작 첫 음식 휴게소 다코야끼 그리고 어묵바 :) 의정부에서 대구를 매주 토요일에 4번, 가면서 요리조리..."
591,[대구여행] 1박2일 대구여행 프롤로그 막창먹고 싶어서 떠난 1박2일 대구여행 대구... 추억여행 포토존에 한가득 신나게 사진찍을 수 있는 대구문학관 대구의 근대...
592,대구 가을 단풍 풍경사진 대구여행 대구 단풍이 의외로 늦게 물드는 것 같기도 하고.. 이대로 그냥 단풍없이 겨울로 접어 드는 것 같기도 하고... 행복한 가을 단풍 여행...
593,"ㅋ 간단히 빵먹으러 , #삼송빵집 대구가면 꼭 먹어야한다는 , 하지만 강남쪽에도... ㅎㅎㅎ 1박2일.대구여행. 가방메고 떠났던 여행. 처음 가본 곳. 진짜많이걷기도했고..."
594,"대구여행 가볼 만한 곳, 대구 예술 발전소 대구 3호선 모노레일을 타고 달성공원 역에 내렸다. 달성공원 역 1번 출구로 나와 걷다가 첫 번째 골목에 보니 조형물이 있다..."
595,"금요일 오늘은 가을여행하기 좋은 대구여행 3편 - 대구가볼만한곳 대구예술발전소를 소개했답니다 멋진 작품, 작가와의 만남 낙후된 구도심 지역에 ""예술공간""을 재탄생..."
596,대구여행 / 대구 가 볼 만 한 곳 _ 달성 육신사 달성 하목정을 둘러 본 다음 예상보다 시간이 많이 남아서 주위 갈 만한 곳을 찾던 중 바로 근처 육신사라는 곳 역시...
597,오늘 대구여행]마비정 벽화마을 풍경은 철부지 어린시절 내고향 대구여행]마비정 벽화마을 풍경은 철부지 어린시절 추억이 가득 대구 가볼만한곳/대구 추천여행지...
598,"요즘 새롭게 뜨고 있는 여행지 대구 서울에 살고 있지만, 한달에 2번 이상은... 꽃길사진관 | 대구중구 달구벌대로 평소에 사진 찍는걸 좋아한다. 이번 대구 여행에서..."
599,더운 대구에서 시원하게 쉴 수 있는 공간이 있다는 건 피곤함 씻어 버릴 수 있어... 서비스 또한 만족 할 수 있는 곳 산전수전 삼국지 대구 여행 추억 안의 자리 잡구...
600,외곽의 여행지를 방문하게 되는 경우가 있다. 대구 옻골마을이 이번 내 대구여행에 있어서 그런 존재였다. Photo & Edit : WESSAY ▲ 나홀로 대구여행 ⑥ : 칠성시장 ▲ 1....
601,하며 대구에서 7시간도 있지 않고 귀가합니다.. 고기 한 번 맛깔나게 굽는 사람 암튼 친구와 함께한 당일치기 대구여행은 이대로 끝납니다. 지금은 너무 피곤하지만...
602,둘이 대구여행^^ 목적지 없이 급하게 떠난 여행이라~~ 휴게소에서 아고다로 호텔 예약하고..ㅎ 양평쪽으로 올라가다가 고속도로 갈림길에서 대구 이정표 보고 확...
603,암튼 오늘은 수능을 마친 수험생분들께 추천하는 1박2일 국내여행 / 대구여행 9편을 소개할게요 대구 근대사 거리 마지막에 자리한 대구 분위기 좋은 카페 꽃자리다방...
604,이제 진짜 나홀로 대구여행의 시작인 것이다! 오늘 저녁에는 대구에 사는 친구와... 티아라의 여행정보 ! 대구 대봉동 르플랑 오픈 시간은 12:00~20:00 매주 월요일은 휴무...
605,따뜻해지고~ 대구 여행 오기 좋은 봄이 다가오네요! :-) 오늘은 여행객을 위해 대구 게스트하우스 한 군데를 소개해드리려고 해요. 대구도시철도 반월당역에서 3분...
606,여기는 가성비 값의 완전 완전 좋은 가을 여행지라고나 할까. 대구에 이런 멋진 곳이 있다는게 막 뿌듯하고 자랑스러운 느낌이드는 그런 곳이다. 난 달성습지라고...
607,오늘 소개해 드릴 나들이 장소는 대구 미술관 입니다. 대구에 위치한 대구미술관은 전시일정에 따라 다르지만 아 이들과 함께 즐길 수 있을만한 전시가 가끔 있답니다....
608,15개월 아기와 함께 대구근교여행 둘째 영광이가 태어나고 병원 생활이... 키카는 뭔가 내 스타일이 아니라 대안으로 찾아온 대구여행코스 대구예술발전소입니다....
609,다음에도 친구랑 재방문하고 싶어요. 대구여행 오신 분들도 방문하기 좋을거에요. 대구사진관 꽃길사진관 ★ (<U+0942><U+2022> <U+0C6A><U+2022><U+0942> ) 이뽀요 !
610,신간 '여행의 이유'는 없었지만 '좋아하는 일'을 찾아 떠나는 사람들의 이야기가... 둔다 #대구블로그강의 #동성로독립서점 #깨알대구여행 #의식의흐름 #릴리제이스토리
611,대구 1박2일 여행 작년부터 정말 가보고 싶었던 대구를 다녀왔긔 영등포역에서... 대구 여행 때 수성못은 꼭 가야지 했었는데 진짜 진짜 가길 잘 한 것 같다♡ 1일차...
612,"대구여행 푸드페스티벌이 열리는 들안길 먹거리타운과 수성못 항일시인 이상화... 가을에 대구를 방문할 계획이라면, 특히 식도락 여행을 즐기는 이라면 대구를..."
613,"대구 여행코스 혼여족을 위한 겨울 대구 당일치기 여행코스 혼자라서 여유롭게 즐기는 대구여행! 친구, 가족, 연인과 함께하는 여행도 즐겁지만 오늘 제멋대로는 혼자..."
614,대구 여행이라고 하기에는 너무 짧은 시간. 대구에 볼 일이 있어서 갔다가 5시간 정도 있다 왔다. 보고 쿠폰도 쓸겸 스타벅스도 들어가보고. 주변에 공원도 많았는데 공원...
615,아버지 생신을 맞아 고향인 대구를 방문했다. 주말을 보내고 맞이한 월요일. 오후에... 주중에만 만날 수 있는 생고기로 장식해본다. 여행의 하이라이트까지 마무리.
616,"이번 포스팅은 이제 가족여행의 끝이에요. 마지막으로 밥집에서 밥을 먹고 그리고... 히히 그럼 시작해볼게요.ㅎ 대구 여행 마지막 날, 대구 국밥먹고 집으로! 저희..."
617,남편이 여행을 제안했고 여행지를 정하지 못한 채 시간이 흘렀다 떠나기 이틀 전에 정해진 여행지는 대구. 뼛속까지 대구 사람인 사촌동생(지금은 잠시 홍콩에 머물고...
618,[대구여행] 대구신세계 3시간 무료주차쿠폰 활용하기 / 폭염에 서문시장 칼국수... www.shinsegae.com [ 대구신세계 3시간 무료주차 쿠폰 활용방법 ] (경북여행) 요즘은...
619,갔던 대구여행지를 소개합니다. -_- ㅋ 비와도 좋다는 뭐 그런 의미로다가 휴가철에 대구살면서 처음으로 이용해 본 대구시티투어를 이용하여 여행한 여행지 그...
620,이었다~~~~~~ 대구에서 먹어서 그런지 더 맛잇었다 희희 슬프지만 돌아갈 시간 1박2일동안 잘 먹고 잘 놀았다 ! 정말 알차고알찬 여행 행복했다!<U+2764><U+FE0F> <대구여행 1편...
621,1박2일 대구여행 다녀왔어요! 미세먼지 피해서 다녀온 우정여행이었지요. 하나보단... 역시 여행은 휴게소 가는 맛이죠 ♪ 서문시장에서 알차게 먹어주고 대구 이월드...
622,"지금 소개해 드릴 대구호텔, 노보텔 앰배서더 대구는 저의 그런 니즈를 딱 반영하는 곳이더군요. 그래서 2018년 1월 여행은 대구여행 한번 해 보시라고 이 지역을 한번..."
623,그래서인지 커서도 무언가 대구에 대한 동경이 있었다. 대구여행을 하고 싶었지만 '도시'에 무슨 여행을 가냐고 했고 대구여행은 계속 미뤄졌다. 물론 일때문이나...
624,"9월 둘째주에 떠났던 가평 여행과, 셋째주에 떠났던 대구 여행!! 일단, 가평 여행... 그리고 그 다음주는 남친이랑 대구에서 만남! 서울 부산 장거리 커플이 좋아하는 장소..."
625,것만으로도 대구여행은 성공적이었다며 좋아했던 공간이에요. 베이커리... 대구 가시면 꼭!! 들려보세요. 빌리 웍스(billy works) 주소 대구 북구...
626,"대구여행, 대봉동 맛집 마치일레븐 레스토랑에서 혼밥했어요! 혼자 하는 여행의... 역시 여행도중에 나처럼 혼자 대구맛집 마치일레븐에 가서 인스타갬성도 살리고..."
627,[대구 여행] 더 한옥 & 스파 더 스타일 게스트하우스 한옥집을 리모델링 한... 몰랐던 사실 중 하나가 대구가 한옥의 도시라고 하네요. 7개 특별/광역시 가운데 가장...
628,대구여행 마지막날! 나홀로여행으로 대구 달성공원에 다녀왔어요~ 제가 동물을 무지 좋아하는데 공원에 동물원이 마련되어 있다고 해서 여긴 가야해!!+ㅁ+ 했답니당...
629,#성수팸 성수동에서 만나 대구 군산 울산 찍구 또 대구여행 같이 다닐수 있어 너무... 쏠수지와의 여행에선 거울사진필수. 6.대구오면 한번은 꼭 인스턴트카페 1) 결국...
630,올해 국내여행을 참 많이 다녔구나~싶으면서도 이렇게 포스팅하는 나의 부지런함을 칭찬한다. (응?) 이때도 피곤한데 떠난 듯 똥대구 도착~ 유행 다 지난 자판기 문...
631,대구 근처 나들이 - 송해공원 안녕하세요. 아리입니다. 주말에 날씨도 좋은데 집에... 따로 차를 가지고 가기엔 힘들수도 있지만 저희는 여행사로 단체여행상품으로 가서...
632,지난 2016년 12월 대구여행의 마지막 날 친구와 함께 국립대구박물관에 다녀왔어요. 국립대구박물관은 수성못과 가까운 곳에 위치하고 있었어요. 그래서 같이 묶어 여행...
633,대구 여행 2018 대구&대구근교권 관광 스탬프트레일 스탬프 도장 빙고 이벤트... 가을 여행주간에서도 또 다른 스탬프트레일 이벤트가 준비되어 있으니...
634,"[대구 여행] 대구 서문시장 풍경 2 - 언제나 생기넘치는 대구의 대표 시장! 멍게... 대구의 인심이 물씬, 묻어나는 서문시장 여행이었다.^^ Kenda. cool. Innocent. (↓아래..."
635,고민하다 대구에 캐리어 여행가방만 전문적으로 판매하는곳을 찾았다 영산가방도매 성당동 대성사 절 근처에 있다 들어가니 가방종류 엄청 많음 여행 캐리어 엄청많다...
636,내일로3일차 여수에서 마산을거쳐 동대구로 가는 여행 처음에 신탄진까지 가서... 대구여행 서문시장야시장 맛집박살내기 대구 강정보 디아크 야경 그리고...
637,이번 대구여행에서 다녀온 도동서원을 보여드릴게요~ 우리나라 5대 서원의 하나인 도동서원은 대구 달성군 구지면에 있으며 사적 제488호로 지정돼있습니다 원래...
638,대구 단풍 사진...대구여행..대구가을풍경사진.. 작년이나 저작년 보다 단풍색이 곱지 못한듯 느껴지지만... 그래도 볼만한 도심의 가을단풍들...
639,오늘은 동생과 함께 #대구여행 가는 날:)♡ 실시간 사진이에요 히히히 잘 다녀올게요 미뤄둔 포스팅은 내일부터 차근차근 하기로 -
640,언젠가 꼭 한번은 가보고 싶었던 대구여행 가볼만한곳 김광석거리를 얼마전에 다녀왔네요. 매번 혼자하는 당일치기여행이라 어김없이 빠르게 슝~ 하고 대구까지 데려다...
641,"매일저녁 30도가 넘는 초열대야에 기상관측 이래 최고의 폭염을 기록하던 8월 중순 서울의 폭염을 피하기 위해 여행을 가기로 한 곳은 대구 (?!) 여행 멤버는 재혁옹, 시니..."
642,대구여행 기차에 함께 탄 친구가 타자마자 경기하듯 울어대서 팔땡이도 무서워.. 무서워... 그러는데 이것봐 아무도 안무서워하자나~~ 하니깐 금세 적응하고는 기차여행...
643,"이모들과 대구여행을 갈 거라 이야기를 했더니 시험공부에 찌들어 있는 가을양 얼굴에 화색이 돌더라구요. 좋아하는 여행을 가서 기분이 좋은가보다 했죠ㅋㅋ ""대구?..."
644,#대구카페 #대구카페추천 #대구맨션5 #mansion5 #대구여행 대구에서 취향저격 카페 발견! 이름하야 맨션5 운좋게도 이렇게나 예쁜 카페가 내가 묵은 게스트하우스 바로...
645,저는 특별히 이번에 당일치기여행을 다녀왔어요. 날이 많이 따뜻해져서 걸어다니기도 좋구~해서 대.구.로 떠나봤어요. 부산에서 대구는 한 시간 남짓한 거리라서...
646,나름 대구여행 코스라면 코스인데. .당일치기여행이라 보면 되겠다. 내가 움직인 순서를 한번 읊어보자면 서문시장-찜갈비(점심)-근대골목단팥빵(간식)-대구수목원(소화)...
647,가을가을한 지난 주말 친친과 #1박2일 #대구여행 다녀왔어요 ㅎㅎ 대구는 예전에... 보고 대구로 가게 되었습니다 오랜만에 #기차여행 이라 씐남~ 간편하게 #코레일톡...
648,여행. 단어부터 설레지 않는가. ㅋㅋㅋ 지극히 개인취향 ㅋㅋㅋㅋ 목적지는 대구.... 둘러볼 수 있는 청라버스를 이용하며 구경하기로 했다. 두근두근:) 대구여행 시작!
649,대구 여행코스 대구 근교 여행지ㅣ문화와역사 대구문학관 안녕하세요? 채이파파 입니다. 대구 아이와 함께 가볼 만한 곳 대구 여행코스로 포스트 했던 향촌문화관...
650,블로거 이웃들과 1박 2일로 대구여행 다녀왔습니다 태어나서 대구는 2번째 가보는... 즐겁게 여행하고 온거같아요^^ 고맙습니다.. ㅎㅎㅎ 예고편 겸 맛보기로 다녀온...
651,#대구여행 #대구단풍 #엄마랑여행 #대구가볼만한곳 #대구나들이 #대구데이트코스추천 대구 팔공산 동화사에서 단풍구경하기 방문일자 2018.10.28 SUN 다사에서 급행1번...
652,대구 네이처파크는 동물교감형 동물원인데요 10월에는 축제인 할로윈 페스티벌을 개최하는데요 구석구석 할로윈의 기분을 느끼기좋습니다 네이처파크 할로윈축제...
653,먹거리는 넘치고 교통과 숙박도 편리한 대구 근대골목 대구 여행 길잡이 대구 근대골목 투어 다음 순서대로 해 보세요. ①경상감영공원 >> ②대구 근대역사관...
654,버스 오래타기 싫으시다면 시외버스 추천합니다.대구 서부정류장 친구가 대구와 부산중에서 여행지를 고르길래부산은 전혀 몰라서 넘어가고 그나마 4년동안 살았던...
655,"대구여행 part3 친구랑 다녀온 1박 2일 대구 일 마치고 가야해서 하루를 숙박했구 , 아침 일찍 출발한다면 당일치기도 가능하답니다! 일 마치고 저녁에 기차타고..."
656,오늘은 얼마전 대구여행하며 찾아본 대구 김광석 거리를 소개해봅니다 ~ 언젠가... 대구의 명소로 떠오르는 김광석 거리를 몇시간을 차로 달려서 이 겨울에 힐링여행을...
657,"설연휴 여행~ 대구 안지랑곱창골목 대구 맛집 ""홍림곱창"" 가게 들어서자 비린내가 나서..걱정.. 비가와서 그런가.. 처음 먹어보는거라..불안..불안.. 직원이 친절하게..."
